date | value
2011-01-03 | 3
2011-01-03 | .2
2011-01-03 | 1.
2011-01-03 | 1.2
2011-01-04 | 1.2.3
2011-01-09 | 1
2011-01-10 | 12.34.56
2011-01-10 | 2-2
2011-01-10 | 2-2-4
2012-01-11 | -1
2001-42-42 | 4
2011-42-42 | 4
2012-01-11
2012-42-02 | 1
2012-02-42 | 1
2012-01-11 | 1.234
2012-01-11 | 2147483647
2012-01-11 | 2147483648
2019-11-20 | 1
2019-11-21 | 1
2019-11-22 | 1
2019-11-23 | 1
2019-11-24 | 1
2019-11-25 | 1
2019-11-26 | 1
2019-11-27 | 1
2019-11-28 | 1
2019-11-29 | 1
2019-11-30 | 1
2019-11-31 | 1
2020-02-29 | 6
